Year,State,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
2001,North Carolina,0.013637093,0.019871591,3.769318182,24.31136364,0.19487971,0.242840909,2.1375,2.817045455,1.191410815,4.659090909,3.125,6.427272727,4.982414982,11.225,4.863636364,10.58863636
2001,Oklahoma,0.026203026,0.035257955,7.529545455,39.01477273,0.023460923,0.064772727,2.929545455,0.664772727,0.721153634,2.884090909,6.559090909,4.005681818,5.886239453,13.24772727,8.965909091,12.4875
2001,Pennsylvania,0.113241941,0.172953409,39.93295455,200.0056818,1.191922172,1.80375,25.26590909,20.55340909,19.51158273,58.88409091,37.74090909,81.91363636,58.926772,117.6125,47.21818182,111.0477273
2001,Texas,0.041750316,0.060386364,15.62954545,62.99204545,0.569794082,0.985568182,12.63068182,11.24431818,2.559397057,9.523863636,13.27159091,13.17840909,23.92073279,49.22613636,17.98295455,46.5625
2001,Virginia,0.031308841,0.046056818,12.20681818,50.28181818,0.699547135,0.910340909,8.964772727,10.42045455,6.548908553,16.49886364,12.49090909,23.16136364,19.27069637,35.50454545,14.30340909,33.55681818
2001,Washington,0.003139913,0.004453409,1.940909091,4.128409091,0.053181818,0.075909091,1.4,0.870454545,0.650578844,1.764772727,1.9125,2.5125,3.003291244,5.646590909,2.660227273,5.331818182
2002,Arizona,0.025940943,0.042705682,10.25568182,42.42159091,0.723524181,1.225454545,9.098863636,13.95681818,1.927629736,4.919318182,10.60227273,7.003409091,24.21472211,46.89431818,15.09886364,44.55681818
2002,California,0.312462543,0.434686364,117.2136364,436.7022727,6.685119299,9.987272727,82.39886364,113.7170455,18.08265287,43.11465909,81.23295455,60.52159091,185.2051796,336.0431818,128.7840909,318.2102273
2002,Colorado,0.007164107,0.011642045,3.218181818,11.62386364,0.154409357,0.25625,2.502272727,2.935227273,0.690752245,4.919318182,2.672727273,6.906818182,6.071513276,12.32727273,3.259090909,11.66136364
2002,District Of Columbia,0.010932378,0.015521591,4.826136364,17.48636364,0.481613705,0.623863636,3.813636364,7.117045455,2.795025659,6.981818182,4.490909091,9.918181818,10.13747508,17.42045455,5.320454545,16.50795455
2002,Florida,0.010567206,0.0157125,4.179545455,15.62045455,0.194835368,0.259772727,2.797727273,2.996590909,0.275887399,1.180681818,3.618181818,1.652272727,4.66369467,10.11136364,4.7875,9.532954545
2002,Illinois,0.020410305,0.031421591,9.060227273,33.93636364,0.505644768,0.719204545,7.411363636,8.243181818,3.575240518,13.69204545,8.779545455,18.07045455,16.91703223,30.77272727,10.98636364,29.10681818
2002,Indiana,0.005683649,0.008047727,1.609090909,9.703409091,0.064763257,0.08375,0.873863636,0.961363636,0.508029911,2.092045455,1.310227273,2.935227273,2.384393267,5.145454545,1.935227273,4.8625
2002,Kansas,0.026694018,0.036184091,9.706818182,36.67045455,0.359144832,0.48,5.611363636,5.361363636,1.431036398,3.870454545,7.151136364,5.470454545,7.9950687,16.50454545,10.04886364,15.63863636
2002,Kentucky,0.023103017,0.032122727,7.282954545,37.08295455,0.086018641,0.1625,3.792045455,1.795454545,1.93451839,7.068181818,6.546590909,9.946590909,7.311815035,15.82727273,8.415909091,14.9375
2002,Louisiana,0.008958872,0.014047727,3.919318182,14.23522727,0.281283177,0.376818182,3.297727273,4.289772727,1.030941611,3.871590909,3.828409091,5.456818182,7.055549216,13.00795455,5.076136364,12.28863636
2002,Massachusetts,0.007594106,0.010832955,4.588636364,10.65795455,0.141417357,0.225568182,3.572727273,2.727272727,1.865975908,3.939772727,3.85,5.718181818,9.105537325,14.46590909,4.871590909,13.72954545
2002,Michigan,0.012808794,0.018222727,4.569318182,20.74772727,0.147801702,0.23375,2.879545455,2.688636364,1.374712983,5.372727273,4.203409091,7.401136364,7.289082734,15.11818182,4.875,14.20340909
2002,Missouri,0.015158857,0.022972727,5.046590909,27.38409091,0.284127209,0.389659091,4.215909091,4.455681818,1.997889934,7.123863636,4.989772727,10.11818182,8.415982031,17.03636364,6.217045455,16.10795455
2002,Nevada,0.016921883,0.019096591,4.588636364,20.26704545,0.018511265,0.038977273,1.517045455,0.434090909,0.024684205,0.318181818,0.382954545,0.455681818,1.181234236,5.326136364,3.248863636,5.022727273
2002,New Hampshire,0.006849003,0.009182955,2.207954545,9.614772727,0.058919103,0.089204545,1.513636364,1.026136364,0.23598264,1.239772727,1.502272727,1.756818182,2.088679358,4.5625,2.6875,4.307954545
2002,New Jersey,0.018872524,0.027955682,8.443181818,31.97840909,0.446058242,0.61375,6.4875,7.029545455,4.121341451,10.56818182,7.777272727,14.98295455,18.32247748,30.925,9.007954545,29.33522727
2002,New York,0.027683859,0.041225,13.17613636,45.57954545,0.519511294,0.769659091,9.992045455,8.775,8.041214268,17.24772727,11.33295455,24.25909091,28.07349762,47.28522727,14.56363636,44.80340909
2002,North Carolina,0.021173058,0.030157955,5.375,40.01022727,0.224289844,0.296136364,3.653409091,3.467045455,1.423560376,6.845454545,4.589772727,9.490909091,6.327893778,14.84772727,6.628409091,14.03409091
2002,Oklahoma,0.017427315,0.022918182,5.706818182,23.45454545,0.031374372,0.07625,2.347727273,0.817045455,0.536308147,3.077272727,4.278409091,4.238636364,3.448457714,8.109090909,6.696590909,7.636363636
2002,Pennsylvania,0.118382636,0.176834091,41.55113636,209.7988636,0.976751761,1.455568182,23.76022727,16.63181818,19.04091606,55.05113636,38.25795455,77.31363636,54.71262739,110.3090909,46.3,104.1943182
2002,Tennessee,0.015356564,0.022303409,4.202272727,27.46818182,0.413636364,0.413636364,0.136363636,4.55,0.510069755,1.102272727,1.917045455,1.482954545,1.272474692,3.2375,3.820454545,3.067045455
2002,Texas,0.04370632,0.063,15.98977273,67.47613636,0.53644896,0.920681818,13.51590909,10.50454545,1.196535778,6.782954545,12.06363636,9.484090909,24.26954075,50.07727273,19.30454545,47.32727273
2002,Virginia,0.031105514,0.043323864,10.52159091,51.01590909,0.444182568,0.574659091,7.245454545,6.617045455,4.678533475,12.33977273,10.23068182,17.46590909,14.66072865,28.0875,11.29545455,26.57272727
2002,Washington,0.003213668,0.004421591,1.829545455,4.096590909,0.047458964,0.06875,1.379545455,0.7875,0.422776114,1.45,1.819318182,2.055681818,2.839981966,5.611363636,2.345454545,5.296590909
2003,Arizona,0.022432259,0.036077273,9.117045455,36.18409091,0.570487576,0.964090909,6.952272727,11.01818182,1.628727903,4.155681818,9.778409091,5.914772727,20.79083277,39.79431818,12.96136364,37.73522727
2003,California,0.289048523,0.404580682,110.9636364,417.5443182,6.024086967,8.891818182,76.29204545,101.5772727,15.704033,35.95465909,74.85227273,50.40681818,164.8600724,304.1465909,119.9931818,287.9386364
2003,Colorado,0.007629411,0.012661364,3.642045455,12.12840909,0.191855685,0.308863636,2.892045455,3.546590909,0.687134328,4.697727273,3.030681818,6.655681818,7.300904877,14.96818182,3.779545455,14.18068182
2003,District Of Columbia,0.008687638,0.012776136,4.772727273,12.99318182,0.368735919,0.523977273,3.804545455,5.977272727,3.431602101,7.417045455,4.340909091,10.52159091,9.287854909,15.65909091,5.188636364,14.81477273
2003,Florida,0.010637201,0.0157125,4.121590909,15.51818182,0.182278231,0.236704545,2.713636364,2.763636364,0.272882373,1.054545455,3.402272727,1.479545455,4.496127556,9.8,4.905681818,9.245454545
2003,Illinois,0.014788843,0.022939773,6.939772727,23.16818182,0.336100053,0.496704545,5.285227273,5.718181818,3.291544639,13.51363636,6.425,17.10909091,13.49722713,24.02386364,8.702272727,22.79659091
2003,Indiana,0.006709093,0.009725,2.221590909,10.42386364,0.089648833,0.122159091,1.371590909,1.397727273,0.682605595,3.013636364,2.1375,4.184090909,2.937562044,6.621590909,2.822727273,6.254545455
2003,Kansas,0.020502072,0.028289773,7.522727273,30.00113636,0.218504809,0.316136364,4.347727273,3.520454545,1.243871061,4.363636364,6.206818182,6.0625,6.632897542,13.32954545,7.793181818,12.61818182
2003,Kentucky,0.009950914,0.013072727,3.167045455,14.09318182,0.029316606,0.066818182,1.780681818,0.736363636,0.9980076,3.147727273,2.659090909,4.455681818,3.052110723,6.798863636,3.815909091,6.405681818
2003,Louisiana,0.00943092,0.014781818,4.070454545,15.04886364,0.271718827,0.356590909,2.934090909,4.071590909,1.38272458,4.456818182,4.331818182,6.329545455,6.366478194,12.89090909,5.198863636,12.18977273
2003,Massachusetts,0.008284036,0.011934091,5.019318182,11.49318182,0.257539358,0.345568182,3.730681818,3.940909091,2.492909273,4.828409091,3.945454545,6.888636364,9.330855815,14.42613636,5.143181818,13.62045455
2003,Michigan,0.0119298,0.016668182,4.563636364,17.54659091,0.157102275,0.242613636,3.145454545,2.809090909,1.183472288,4.990909091,3.971590909,6.835227273,6.88461776,13.51818182,5.113636364,12.77272727
2003,Missouri,0.015151234,0.022806818,5.048863636,25.2625,0.277769515,0.393295455,4.102272727,4.501136364,1.76784924,6.113636364,5.189772727,8.6875,8.058111364,16.05,6.590909091,15.16363636
2003,Nevada,0.008093985,0.009023864,2.109090909,9.394318182,0.000535038,0.001704545,0.105681818,0.017045455,0.002651515,0.048863636,0.063636364,0.069318182,0.442464403,1.817045455,1.129545455,1.719318182
2003,New Hampshire,0.006029536,0.008190909,2.007954545,8.132954545,0.066787781,0.089772727,1.171590909,1.054545455,0.262915203,1.290909091,1.665909091,1.832954545,1.848255492,3.873863636,2.394318182,3.648863636
